Structure,HW_max_NAVD88,HW_min_NAVD88,TW_max_NAVD88,TW_min_NAVD88
S59,61.03,51.03,61.03,49.03
S62,64.97,56.97,61.97,50.97
S63A,59.87,52.87,54.87,44.87
S63,64.91,56.91,61.91,49.91
S65A,50.82,42.82,45.82,36.82
S65E,22.79,16.79,20.79,8.79
S65,56.81,46.81,53.81,42.81
S68,45.83,33.83,38.83,26.83
S70,28.78,20.78,26.78,14.78
S71,21.79,15.79,20.79,8.79
S72,22.72,16.72,20.72,8.72
S75,30.79,22.79,27.79,16.79
S82,38.8,28.8,34.8,22.8
S83,38.8,28.8,34.8,22.8
S84,30.79,20.79,20.79,8.79
S65D,31.79,23.79,25.79,14.79
S60,66.95,59.95,65.95,54.95
S67,39.84,29.84,32.34,30.09
S67X,40.84,32.84,37.84,33.34
S68X,44.84,35.84,33.84,21.84
S83X,38.8,25.8,27.8,13.8
S84X,29.79,19.79,19.79,6.79
S65DX1,31.8,16.8,19.55,17.05
S65DX2,32.29,25.79,26.79,13.79
S65EX1,27.79,16.79,20.79,7.79
S41,8.44,5.44,1.44,-2.56
S40,8.45,5.45,1.45,-2.55
S153,21.81,13.81,16.31,4.81
S351,22.1,8.6,12.6,8.6
S352,22.54,4.54,12.54,4.54
S354,22.6,5.6,16.6,5.6
S191,21.74,12.74,19.74,7.74
S97,23.52,16.52,12.52,6.52
S61,58.95,47.95,59.95,45.95
